borough,dbn,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,supported_rate,total_schooldays,presence_rate,absence_rate,release_rate,mean_score_math,mean_score_ela,diversity_index
Manhattan,03M415,Central Harlem South,M,3,Wadleigh Secondary School for the Performing & Vis,2006,838,52.1,47.9,0.8,63.1,35.3,0.7000000000000172,0.1,17.4,5.6,76.6,186.0,82.71,10.52,6.65,204.2,202.9,47.71160000000001
Manhattan,03M860,Central Harlem South,M,3,Frederick Douglass Academy II Secondary School,2006,450,51.6,48.4,0.9,77.1,19.1,2.200000000000003,0.7,12.9,1.8,70.6,186.0,89.86,6.08,3.83,228.75,225.55,36.84640000000001
Manhattan,03M862,Morningside Heights,M,3,Mott Hall II,2006,318,52.2,47.8,6.9,25.8,47.8,0.2999999999999972,19.2,11.6,0.6,42.1,185.0,94.97,4.72,0.0,250.40000000000003,243.75,66.3318
Manhattan,04M007,East Harlem,M,4,P.S. 007 Samuel Stern,2006,455,50.3,49.7,2.0,34.1,61.8,0.5999999999999943,1.5,15.2,15.2,84.7,186.0,90.65,8.48,0.43,229.7,214.65,50.1134
Manhattan,04M012,East Harlem,M,4,Tag Young Scholars,2006,454,59.5,40.5,3.7,58.4,33.3,1.6999999999999886,2.9,0.0,0.0,49.86,186.0,93.33,6.44,0.0,250.65,242.95,54.55560000000001
Manhattan,04M057,East Harlem,M,4,James Weldon Johnson,2006,702,50.1,49.9,3.8,22.5,70.5,2.299999999999997,0.9,16.8,18.7,81.4,186.0,92.19,7.67,0.0,229.45,221.0,45.0296
Manhattan,04M072,East Harlem,M,4,The Lexington Academy,2006,592,49.5,50.5,1.4,11.1,86.3,0.4000000000000057,0.8,24.2,20.8,85.9,186.0,92.02,7.81,0.0,237.95,226.05,24.2634
Manhattan,04M096,East Harlem,M,4,P.S. 096 Joseph Lanzetta,2006,633,49.9,50.1,0.3,31.0,66.7,0.2999999999999972,1.7,16.0,8.4,98.9,186.0,90.72,9.12,0.0,228.2,220.0,45.87039999999999
Manhattan,04M108,East Harlem,M,4,P.S. 108 Assemblyman Angelo Del Toro Educational C,2006,687,48.8,51.2,1.5,34.6,63.8,0.0,0.1,16.4,10.5,82.5,186.0,91.51,8.2,0.15,238.95,226.05,47.301399999999994
Manhattan,04M171,East Harlem,M,4,P.S. 171 Patrick Henry,2006,558,48.9,51.1,2.2,35.3,61.3,0.10000000000000853,1.1,12.4,1.4,78.8,186.0,91.65,7.99,0.36,243.6,229.95,49.9016
Manhattan,04M206,East Harlem,M,4,P.S. 206 Jose Celso Barbosa,2006,291,47.1,52.9,1.0,31.3,67.0,0.4000000000000057,0.3,31.6,13.1,88.0,186.0,91.55,8.11,0.0,226.40000000000003,212.45,45.30059999999999
Manhattan,04M224,East Harlem,M,4,M.S. 224 Manhattan East School for Arts & Academic,2006,271,56.5,43.5,5.9,29.9,47.6,1.0999999999999943,15.5,9.2,0.4,41.4,186.0,92.88,6.74,0.0,238.4,242.2,65.6396
Manhattan,04M610,East Harlem South,M,4,Young Women's Leadership School,2006,418,100.0,0.0,1.4,36.1,59.3,1.7999999999999972,1.4,4.8,0.5,63.3,185.0,89.95,6.46,3.35,230.4,231.4,51.73140000000001
Manhattan,04M825,East Harlem,M,4,Isaac Newton Middle School for Math & Science,2006,355,46.8,53.2,1.7,25.4,71.3,0.8000000000000114,0.8,13.0,9.9,68.5,186.0,91.55,8.45,0.0,208.3,212.15,42.669800000000016
Manhattan,04M964,East Harlem,M,4,Central Park East II,2006,203,50.2,49.8,0.5,51.7,34.0,2.0,11.8,29.1,0.5,61.1,186.0,93.07,6.93,0.0,196.5,207.5,60.2762
Manhattan,05M123,Central Harlem,M,5,P.S. 123 Mahalia Jackson,2006,607,51.4,48.6,0.5,68.9,29.5,0.09999999999999433,1.0,14.3,13.8,76.6,186.0,89.13,10.54,0.17,219.0,209.65,43.812799999999996
