borough,dbn,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,poverty_rate,total_schooldays,presence_rate,absense_rate,release_rate,total_cohort,graduation_rate,dropout_rate,diversity_index
Manhattan,02M605,Chelsea-Union Sq,M,2,Humanities Preparatory Academy,2006,171,56.7,43.3,5.8,36.8,45.0,1.9000000000000057,10.5,9.4,2.3,21.3,170.0,79.88,20.12,0.0,95.0,66.32,17.89,64.7326
Manhattan,02M615,SoHo-Tribeca,M,2,Chelsea Career and Technical Education High School,2006,971,39.8,60.2,2.1,36.7,57.9,1.8999999999999917,1.4,14.8,6.0,72.8,170.0,75.78,24.22,0.0,388.0,44.07,26.03,52.907199999999996
Manhattan,02M630,E. Midtown,M,2,Art and Design High School,2006,1431,42.1,57.9,5.7,25.6,51.3,8.0,9.4,10.2,2.9,42.4,170.0,89.16,10.76,0.0,525.0,72.38,6.67,65.281
Manhattan,02M655,Yorkville,M,2,Life Sciences Secondary School,2006,722,55.0,45.0,3.7,31.0,60.9,2.9000000000000057,1.5,11.2,3.5,66.3,186.0,81.07,11.78,7.01,255.0,79.22,8.63,53.058400000000006
Manhattan,03M299,Lincoln Square,M,3,"High School for Arts, Imagination and Inquiry",2006,204,46.1,53.9,2.5,38.7,50.0,4.399999999999992,4.4,14.7,7.8,40.9,172.0,86.7,13.3,0.0,,,,59.5734
Manhattan,03M307,Lincoln Square,M,3,"Urban Assembly School for Media Studies, The",2006,293,44.7,55.3,2.4,39.6,49.5,2.0,6.5,12.3,5.5,42.5,170.0,80.84,18.82,0.0,,,,59.2958
Manhattan,03M415,Central Harlem South,M,3,Wadleigh Secondary School for the Performing & Vis,2006,838,52.1,47.9,0.8,63.1,35.3,0.7000000000000172,0.1,17.4,5.6,76.6,186.0,82.71,10.52,6.65,228.0,66.23,16.23,47.71160000000001
Manhattan,03M479,Clinton,M,3,Beacon High School,2006,1031,57.6,42.4,5.0,18.1,23.3,2.1999999999999886,51.4,5.9,0.6,19.0,171.0,94.23,5.08,0.59,456.0,91.23,3.51,64.577
Manhattan,03M485,Lincoln Square,M,3,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,2006,2521,74.1,25.9,18.0,16.6,19.3,2.1999999999999886,43.9,0.6,0.3,16.4,170.0,95.74,4.22,0.0,1155.0,95.15,1.13,70.95899999999999
Manhattan,03M492,Lincoln Square,M,3,"High School for Law, Advocacy and Community Justic",2006,519,56.3,43.7,1.3,46.6,48.2,1.8000000000000114,2.1,18.1,11.2,86.7,170.0,79.08,20.32,0.4,111.0,60.36,15.32,54.95859999999999
Manhattan,03M494,Lincoln Square,M,3,High School of Arts and Technology,2006,605,33.9,66.1,3.0,35.9,58.2,0.6000000000000085,2.3,14.9,8.4,78.8,170.0,80.73,18.92,0.0,167.0,64.67,5.39,53.09299999999999
Manhattan,03M541,Lincoln Square,M,3,Manhattan / Hunter Science High School,2006,410,55.1,44.9,24.9,21.2,35.4,6.099999999999994,12.4,1.0,2.0,41.45,170.0,94.58,5.17,0.0,,,,74.8642
Manhattan,03M860,Central Harlem South,M,3,Frederick Douglass Academy II Secondary School,2006,450,51.6,48.4,0.9,77.1,19.1,2.200000000000003,0.7,12.9,1.8,70.6,186.0,89.86,6.08,3.83,2.0,0.0,0.0,36.84640000000001
Manhattan,04M435,East Harlem North,M,4,Manhattan Center for Science and Mathematics,2006,1523,49.4,50.6,16.3,20.8,57.8,2.299999999999997,2.8,8.7,6.1,62.2,170.0,92.77,7.16,0.0,845.0,77.51,9.11,59.477000000000004
Manhattan,04M495,East Harlem South,M,4,Park East High School,2006,383,56.9,43.1,0.8,42.8,52.7,2.4000000000000057,1.3,11.5,3.1,66.6,173.0,83.07,16.93,0.0,132.0,69.7,16.67,53.8278
Manhattan,04M555,East Harlem South,M,4,Central Park East High School,2006,306,47.7,52.3,3.3,39.9,52.6,2.200000000000003,2.0,14.7,5.6,67.5,170.0,85.96,14.04,0.0,138.0,47.1,28.26,56.21499999999999
