BN,School_Year,Curr_1,Pedagogy_1,Assessment_1,PosLearningEnv_2,HighExpect_2,LeveragingResources_3,GoalsActionPlans_3,TeacSuppSupervision_3,TeachTeamsLeaderDevelop_3,MonitoringRevisingSystems_3,Ave_1_InstructionalCore,Ave_2_SchoolCulture,Ave_3_SysForImprovement
R014,2011,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.5,2.8
Q470,2011,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.5,3.8
K530,2011,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.67,3.0,3.8
M620,2011,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.67,3.0,3.6
K302,2011,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.67,2.5,2.2
M013,2011,3.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,2.67,3.0,2.8
K631,2011,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.67,2.0,2.2
M283,2011,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.67,2.5,2.6
X560,2011,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.2
K587,2011,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.67,2.0,1.8
K022,2011,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0
M429,2011,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.8
K509,2012,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
K166,2012,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.6
X650,2012,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.67,3.0,3.2
X322,2012,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.5,2.8
X655,2012,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.5,3.4
K296,2012,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.67,3.0,3.2
X142,2012,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.5,2.6
K634,2012,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.67,1.0,2.4
X272,2013,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.4
K334,2013,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.4
M326,2014,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.33,2.0,2.0
X335,2015,2.0,3.0,2.0,,2.0,,,,2.0,,2.33,2.0,2.0
K686,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
K562,2015,1.0,2.0,2.0,,2.0,,,,2.0,,1.67,2.0,2.0
K763,2015,1.0,2.0,1.0,,1.0,,,,2.0,,1.33,1.0,2.0
M084,2015,2.0,2.0,2.0,,1.0,,,,1.0,,2.0,1.0,1.0
