BN,School_Year,Curr_1,Pedagogy_1,Assessment_1,PosLearningEnv_2,HighExpect_2,LeveragingResources_3,GoalsActionPlans_3,TeacSuppSupervision_3,TeachTeamsLeaderDevelop_3,MonitoringRevisingSystems_3,Ave_1_InstructionalCore,Ave_2_SchoolCulture,Ave_3_SysForImprovement
M692,2006,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.5,1.8
M862,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Q166,2006,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.67,1.5,1.2
Q188,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
X103,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
X403,2006,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,3.33,3.0,2.4
K062,2006,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.33,1.0,1.2
K115,2006,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,1.0,1.0
K152,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K315,2006,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.67,1.5,1.2
K447,2006,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.67,1.5,1.2
M134,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
M316,2006,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.4
Q072,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Q520,2006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Q877,2006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R721,2006,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.5,1.2
K483,2006,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.67,1.5,1.8
K052,2007,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.33,1.0,1.2
K061,2007,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.33,1.0,1.2
K161,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
K189,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K198,2007,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.5,1.8
K208,2007,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.2
K251,2007,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,1.0,1.0
K312,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K539,2007,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.67,2.0,2.0
K587,2007,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.67,3.0,3.6
K625,2007,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.67,1.5,2.0
K246,2007,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
K415,2007,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.67,2.0,3.2
K600,2007,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.8
K236,2007,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.33,1.0,1.6
K244,2007,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,1.5,1.0
K254,2007,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.67,1.5,1.2
K278,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
K469,2007,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.67,2.0,3.2
K479,2007,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.67,2.0,1.8
K555,2007,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.67,1.0,1.8
K195,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K397,2007,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.67,2.0,2.4
K092,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
K109,2007,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.2
K119,2007,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.67,1.5,2.0
K134,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K167,2007,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.67,2.0,2.0
K194,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K203,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K207,2007,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.33,1.0,1.4
K217,2007,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.5,1.4
K221,2007,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.6
K222,2007,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,1.0,1.0
K249,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K269,2007,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.6
K316,2007,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.67,2.0,2.0
K326,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K361,2007,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.33,1.0,1.4
K390,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
K068,2007,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,2.67,3.0,2.0
K191,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K219,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K276,2007,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.5,1.4
K285,2007,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.4
K353,2007,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.67,3.0,2.4
K354,2007,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.67,2.0,1.8
K091,2007,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.5,1.6
K114,2007,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.67,1.5,1.8
K135,2007,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.33,1.5,1.8
K232,2007,2.0,4.0,4.0,4.0,1.0,4.0,2.0,2.0,4.0,4.0,3.33,2.5,3.2
K233,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
K252,2007,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.4
K268,2007,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.2
K197,2007,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,1.0,1.0
K352,2007,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.67,2.0,2.4
K495,2007,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.5,1.6
K002,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K022,2007,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.67,1.5,1.4
K206,2007,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.33,1.0,1.4
K289,2007,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.33,1.5,1.4
K394,2007,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.67,1.5,1.2
K500,2007,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.6
